Age,ca,pa,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,RCA,Colour of skin,Number of national team appearances,Goals scored for the national team,Salary
36,179,180,16,16,17,9,20,13,8,14,7,8,19,14,11,19,12,17,14,18,18,19,18,17,13,14,15,15,17,16,12,14,13,7,13,13,13,8,15,12,16,11,16,2,2,1,3,3,1,1,2,1,2,1,10,15,5,17,17,20,19,17,1,1,1,1,1,1,14,8,20,5,1,15,1,1,172,67,13,20,30331138,9000,9265,9000,176,5,152,22,321918
27,178,183,15,17,12,11,16,15,11,14,12,13,18,11,12,16,15,15,15,17,13,18,16,20,13,16,12,13,17,20,12,12,13,10,20,12,20,11,18,11,17,6,19,2,3,3,2,3,3,1,1,3,2,2,14,20,8,16,16,20,12,10,1,1,14,16,1,15,20,10,18,12,8,11,8,1,177,75,12,20,120657610,8900,8900,8500,164,3,68,5,345204
30,177,190,16,16,20,16,18,17,8,15,4,4,17,20,5,20,10,15,14,17,10,17,14,16,20,14,16,4,8,9,15,16,14,6,14,15,13,11,12,12,15,12,12,1,1,1,1,2,2,3,1,1,3,2,16,19,12,11,14,13,6,8,1,1,1,1,1,1,1,18,1,12,20,18,14,15,175,68,14,20,347975206,9000,9104,8750,169,11,119,74,939648
29,177,180,3,3,10,3,15,2,7,3,3,2,14,5,2,14,12,17,14,17,15,11,16,19,13,11,11,18,11,17,13,16,16,13,17,13,12,15,17,5,16,8,1,15,13,14,12,16,15,18,17,16,14,14,16,17,6,14,17,18,15,17,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,91,9,20,298419213,8850,8650,8250,176,3,55,0,220384
27,176,180,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,17,15,16,17,12,17,13,16,20,15,19,16,7,17,14,17,9,16,10,16,6,13,2,2,1,3,2,1,1,1,2,2,2,15,17,14,11,13,17,12,8,1,1,1,1,1,1,1,12,20,16,12,20,19,9,173,64,20,8,347975206,8800,8750,8500,174,6,70,8,208785
36,175,193,2,6,12,7,12,8,11,7,12,9,15,13,11,12,13,16,15,20,15,15,15,18,12,18,13,16,13,16,11,13,14,17,19,11,12,16,17,4,19,8,5,15,16,14,18,14,18,16,16,20,8,18,8,16,12,18,20,18,12,18,20,1,1,1,1,1,1,1,1,1,1,1,1,1,193,93,12,20,347975206,8750,8750,8500,176,2,112,0,345204
28,175,180,5,2,11,3,14,8,9,12,2,1,18,12,3,17,12,17,18,20,16,17,15,16,2,7,15,13,14,13,14,13,13,13,15,13,14,13,16,5,16,5,2,13,16,13,15,16,20,13,14,17,6,17,16,14,4,12,20,16,10,18,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,86,20,10,325655872,8750,8500,8500,173,8,18,0,208785
26,175,175,7,8,13,9,15,8,13,14,8,12,15,8,17,14,13,18,15,17,16,14,18,13,9,11,13,17,16,16,14,13,12,17,16,13,17,16,17,10,15,4,10,3,1,4,2,3,2,2,2,1,1,1,15,16,6,13,15,18,13,16,1,1,1,1,1,1,20,1,15,1,1,1,1,1,191,75,13,20,347975206,8750,8150,8250,173,7,33,1,185587
22,174,184,7,13,18,16,13,8,11,12,4,3,14,12,6,15,15,14,15,15,13,14,15,18,16,12,16,9,13,15,19,16,14,8,15,17,14,12,13,8,12,5,10,2,1,4,2,1,1,3,4,3,2,3,12,15,12,12,16,14,8,8,1,1,1,1,1,1,1,14,1,10,20,1,15,13,177,62,12,20,281778742,8700,8750,8000,165,17,14,1,215753
30,174,183,6,3,3,3,13,9,7,1,3,3,17,4,2,14,11,17,15,18,15,9,13,18,5,14,1,12,14,10,14,14,16,16,15,11,13,15,15,6,15,8,14,13,15,15,12,14,19,14,18,18,10,17,16,18,5,14,17,18,14,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,187,85,16,20,170775003,8700,8250,7950,172,1,28,0,164999
25,174,177,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,16,13,15,18,8,17,8,17,16,17,13,13,12,16,18,13,18,16,18,13,15,4,8,1,3,2,3,1,1,3,1,3,2,2,18,18,8,16,16,18,14,16,1,1,20,1,1,1,1,1,1,1,1,1,1,1,186,83,12,20,347975206,8700,8500,8500,172,4,37,2,202986
30,173,173,14,14,16,18,13,13,8,16,6,5,13,9,6,17,8,15,6,17,11,12,14,14,13,13,18,7,14,17,16,14,12,10,16,16,16,10,16,5,14,5,14,2,1,1,3,3,3,1,1,2,2,2,14,17,8,7,14,18,11,15,1,1,1,1,1,1,1,15,1,13,20,11,14,19,183,77,19,20,347975206,8650,8950,8250,168,9,102,33,222704
30,172,184,11,12,16,15,16,8,14,12,3,8,14,13,10,17,14,17,15,15,12,14,14,17,16,13,18,9,16,17,15,16,16,12,17,15,14,11,12,9,17,5,11,1,3,1,3,1,3,1,1,2,2,3,18,17,8,13,15,18,12,12,1,1,1,1,1,1,1,1,1,1,20,17,19,18,174,69,14,20,109296006,8600,8800,8600,166,17,87,32,354794
29,172,178,5,3,1,3,12,9,1,1,1,1,14,12,2,11,8,11,13,17,16,8,16,15,15,11,3,16,13,13,11,13,13,13,9,13,13,13,16,9,15,5,16,15,15,15,4,18,16,16,19,15,9,14,14,19,7,13,16,10,15,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,84,8,20,120000002,8600,8600,8050,168,5,50,0,356125
32,171,174,11,17,11,13,13,7,14,10,8,9,16,13,11,13,17,20,13,16,16,18,16,18,13,17,20,11,20,17,12,12,13,13,20,14,19,11,16,9,17,2,18,2,3,2,2,1,1,1,1,3,1,1,10,17,10,20,19,16,10,10,1,1,1,1,1,1,10,10,14,15,11,20,18,15,185,76,13,20,347975206,8545,8545,8495,165,3,115,42,335615
24,169,175,13,13,12,11,14,12,12,15,10,13,15,12,13,13,12,14,15,12,14,14,14,15,14,13,15,12,17,17,17,15,15,12,17,17,17,14,15,8,14,6,14,2,3,3,1,3,2,3,3,2,3,2,10,12,7,12,10,14,10,11,1,1,1,10,1,12,13,1,20,17,1,10,16,1,181,74,12,20,99900007,8450,8000,7500,164,8,42,4,209790
31,169,173,13,14,17,9,18,12,10,12,5,12,18,12,15,18,14,16,12,17,14,18,15,15,18,11,15,13,15,15,14,17,15,10,12,11,14,9,14,8,14,12,11,3,2,4,1,1,3,3,3,1,3,3,18,17,12,11,14,16,10,12,1,1,1,1,1,1,20,10,19,10,10,16,10,1,174,70,10,20,347975206,8450,7750,8000,162,10,46,2,260981
28,168,173,8,11,13,8,15,10,16,11,8,16,16,11,15,15,13,16,15,16,15,16,16,14,12,13,14,16,13,14,14,13,12,16,15,14,15,14,15,8,15,7,8,2,2,2,3,2,1,3,2,1,1,3,13,16,6,15,12,16,13,14,1,13,20,1,1,1,1,1,1,1,1,1,1,1,191,85,20,10,347975206,8400,8000,8250,168,6,15,1,150789
37,168,174,4,5,9,7,14,8,17,7,7,17,13,14,16,13,17,17,15,20,17,13,17,15,8,19,8,19,15,14,10,12,16,13,14,10,14,14,15,7,13,11,8,4,2,2,3,1,3,2,2,1,1,2,13,17,6,15,11,20,18,15,1,1,20,1,1,1,1,1,1,1,1,1,1,1,183,79,8,20,26674923,8400,8250,7750,164,12,107,7,114999
27,168,180,8,13,15,13,13,10,12,12,5,7,13,8,8,13,12,18,11,12,13,13,13,13,14,12,20,9,14,15,18,18,14,8,20,17,18,12,14,4,13,2,14,2,2,3,3,2,1,3,2,1,2,3,18,16,12,8,11,17,10,14,1,1,1,1,1,1,1,16,1,17,20,12,20,12,170,69,8,20,197383136,8400,8400,7750,162,15,77,19,405971
31,167,170,6,12,11,10,14,8,10,10,6,12,15,9,19,14,15,20,15,14,16,14,16,19,13,5,15,15,20,20,14,13,15,7,18,14,18,11,19,5,20,8,10,1,3,2,2,1,3,3,1,2,3,2,18,13,1,17,15,20,15,15,1,1,1,1,1,1,18,12,20,12,10,14,12,1,168,72,8,20,48067182,8350,8200,8000,156,17,53,2,336376
28,167,167,12,16,16,11,15,12,10,12,12,9,16,11,13,17,12,14,12,12,12,16,15,13,17,7,14,13,13,14,16,16,14,11,15,16,14,12,14,13,13,9,14,4,1,1,1,4,3,3,3,3,2,1,12,14,11,10,12,15,12,16,1,18,1,20,15,20,1,11,12,15,1,1,14,1,182,74,11,20,269761478,8350,8500,8000,153,6,36,7,208785
23,167,180,11,12,14,16,18,11,13,11,8,7,14,12,10,17,11,15,11,17,10,17,16,10,15,7,17,10,15,13,13,13,13,14,16,17,15,13,13,6,16,4,16,2,2,3,1,3,3,3,2,3,2,3,12,14,5,12,16,15,15,19,1,1,1,1,1,1,10,12,14,14,12,20,14,19,186,77,20,10,305612129,8350,7650,7250,160,3,28,8,173988
26,166,175,13,16,17,14,15,11,11,13,3,6,14,12,9,16,11,13,14,14,11,16,13,14,16,12,13,11,14,15,15,15,14,7,15,15,14,14,14,13,14,12,9,3,1,1,1,3,2,2,4,3,1,1,12,16,12,15,16,13,6,10,1,1,1,1,1,1,1,18,14,16,20,20,16,12,175,82,15,20,288514966,8350,7900,7500,158,4,23,1,313178
29,166,166,5,10,10,7,10,9,15,8,14,15,12,7,17,11,18,15,18,13,14,10,17,17,9,18,8,14,13,15,17,9,17,15,15,16,16,18,16,14,12,14,13,3,3,1,2,1,4,1,3,3,3,1,15,17,15,9,13,15,9,11,1,10,20,12,1,1,1,1,1,1,1,1,1,1,190,85,10,20,123524990,8300,7700,7000,165,17,53,2,244754
32,166,176,19,18,14,13,18,14,7,17,8,8,20,13,9,16,9,17,9,18,14,18,17,10,11,12,15,14,16,11,11,10,12,10,12,12,12,14,13,10,14,7,13,1,3,2,3,1,1,3,1,1,1,3,8,14,7,10,14,17,18,17,1,1,1,1,1,1,17,10,20,1,1,11,1,1,183,76,15,20,37521116,8300,8500,7700,164,5,105,17,359588
25,166,172,9,12,18,15,18,10,13,13,4,7,14,5,8,18,13,13,13,14,13,14,13,15,19,4,15,9,13,14,17,17,14,10,15,16,13,10,15,11,17,7,10,1,2,1,1,3,3,4,1,1,3,3,15,14,8,13,16,12,10,13,1,1,1,1,1,1,1,11,1,8,20,13,14,12,180,70,12,20,251912317,8250,8050,7250,160,12,37,8,104393
27,166,174,16,16,11,15,17,16,10,16,4,3,17,19,8,17,18,16,17,15,14,18,10,17,17,17,17,6,15,15,13,15,13,9,18,14,19,10,12,13,13,3,15,1,1,2,3,3,3,1,1,3,1,1,18,15,5,13,14,17,6,7,1,1,1,1,1,1,1,10,16,10,12,20,14,10,179,69,13,20,265261481,8300,8500,7750,165,6,46,8,289979
23,165,170,14,12,11,14,15,14,9,12,5,7,15,15,11,15,14,14,15,15,12,12,16,18,13,12,17,14,18,20,15,13,10,9,15,15,20,11,12,6,14,8,12,1,3,2,2,1,3,4,3,2,3,3,16,18,6,13,14,16,16,17,1,1,1,1,1,1,14,1,15,1,16,20,15,1,178,70,12,20,126331239,8244,8244,6894,162,3,31,4,89314
26,165,175,14,14,18,14,15,16,7,17,3,7,14,11,8,17,13,15,10,14,12,15,14,11,16,4,15,8,11,9,17,16,14,10,15,18,13,11,12,4,14,6,12,2,2,2,4,3,2,1,1,2,4,3,11,16,13,10,12,11,9,7,1,1,1,1,12,12,1,15,10,15,20,17,18,10,183,80,20,9,96400267,8247,8247,7997,160,12,45,11,326026
31,165,167,10,11,14,13,17,14,7,12,6,10,16,14,13,16,15,17,13,16,14,16,14,13,13,10,16,12,16,15,14,16,14,10,13,13,16,13,17,8,15,11,14,1,2,3,3,2,2,1,1,1,3,3,13,17,6,7,14,16,16,14,1,1,1,1,1,1,16,11,20,10,11,16,10,1,180,80,13,20,61209266,8250,8200,8100,164,9,59,14,191386
30,165,167,2,1,1,3,11,5,8,1,3,2,14,4,1,11,10,14,12,13,16,8,16,12,8,10,3,16,13,10,12,15,14,17,15,11,14,15,15,7,15,6,13,18,16,13,14,16,13,14,16,12,8,12,14,14,7,14,12,14,13,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,194,89,10,20,222367032,8250,8050,8000,164,17,25,0,57996
28,164,167,14,13,17,13,14,15,8,13,6,4,14,15,4,17,11,12,10,14,12,15,13,15,16,9,16,7,10,12,16,14,14,10,12,17,13,11,12,10,13,11,12,2,2,1,4,3,1,4,1,3,4,2,10,16,14,9,13,12,12,8,1,14,1,1,19,1,1,18,1,15,20,12,16,10,180,71,14,20,62700001,8100,7750,7400,153,6,57,8,164999
22,164,170,13,16,11,12,14,14,14,11,9,13,13,7,14,15,16,14,18,16,14,11,16,17,12,13,12,13,15,16,15,12,19,10,15,14,15,18,16,10,15,5,13,1,3,1,1,2,2,2,1,3,4,2,8,17,4,12,16,19,15,12,1,10,16,20,10,19,15,1,13,12,1,1,1,1,175,90,10,20,287615409,8400,8200,7000,160,11,13,0,289979
30,164,174,12,11,12,10,15,15,13,14,13,14,16,14,13,15,13,15,12,16,15,13,15,16,12,15,14,16,15,14,15,12,14,12,18,15,15,13,14,8,15,7,19,2,3,1,2,1,1,4,3,3,2,3,12,17,10,14,15,15,12,10,1,20,19,1,17,1,14,12,17,1,12,10,1,1,180,78,20,10,184320073,8200,8200,7450,158,15,94,14,419579
28,164,172,10,10,17,8,17,12,10,10,7,12,15,12,15,17,14,16,14,18,11,15,16,17,16,11,13,12,15,17,15,15,16,9,12,14,15,15,13,12,13,8,15,3,2,2,1,2,1,2,4,3,2,2,14,14,9,12,14,16,14,17,1,1,1,1,1,1,18,10,20,10,7,15,5,1,178,78,11,20,233998516,8300,8050,7250,164,5,81,3,173988
32,164,164,8,11,14,7,13,11,13,8,12,14,13,6,13,13,13,16,13,13,13,12,13,16,10,11,13,14,15,16,19,13,13,11,19,18,17,13,18,5,13,7,14,2,2,4,1,3,3,1,1,2,2,1,10,15,7,14,7,13,14,15,5,10,14,20,1,18,1,1,1,5,1,1,5,1,178,83,10,20,347975206,8200,8500,7500,154,11,68,0,202986
29,164,165,14,17,16,10,18,13,6,13,6,12,18,15,15,17,14,17,16,18,14,18,15,14,18,12,14,13,17,13,12,16,16,6,12,12,12,9,14,12,14,13,12,3,1,2,2,2,4,3,4,3,3,2,12,17,10,14,14,13,7,8,1,1,1,1,1,1,18,1,20,1,1,12,1,1,165,60,10,20,157373875,8195,8195,7245,163,4,49,3,276164
27,164,170,5,11,12,14,15,6,16,15,6,12,15,11,15,15,14,17,16,16,15,15,15,18,12,14,18,13,17,18,12,11,15,16,12,15,17,17,16,9,14,14,18,2,1,2,3,2,3,2,3,2,1,1,12,18,10,10,16,18,15,8,1,10,1,10,10,10,17,12,20,12,10,16,10,1,189,82,10,20,89723700,8200,8200,8000,164,4,44,14,268492
30,164,165,11,12,12,8,18,9,7,9,2,10,18,18,14,16,10,16,14,19,15,18,18,15,13,15,15,14,17,17,11,14,14,9,14,12,17,9,15,10,15,8,6,1,3,2,1,1,2,2,3,1,2,2,11,15,7,12,13,17,13,12,1,1,1,1,1,1,20,1,20,1,1,10,1,1,180,65,9,20,193594995,8199,7749,7249,158,4,44,5,127591
28,164,165,4,11,10,8,14,4,15,10,7,16,14,8,16,14,14,17,15,17,17,13,16,17,10,15,8,16,17,15,13,13,16,13,15,14,16,14,15,8,15,8,15,1,1,3,1,3,3,3,1,1,1,3,15,16,7,15,14,18,15,16,1,1,20,14,1,1,16,1,1,1,1,1,1,1,183,75,10,20,191688462,8195,8595,7645,164,12,69,4,276164
22,163,180,13,13,17,14,17,13,8,12,5,8,17,12,8,17,7,14,13,15,15,16,14,14,16,8,16,9,14,16,15,17,15,7,14,16,15,9,15,6,16,4,13,2,3,2,2,1,2,1,3,2,1,3,12,15,12,13,12,14,14,16,1,1,1,1,1,1,1,1,14,1,20,20,17,14,171,64,20,9,147976457,8150,8150,8000,161,3,16,2,139190
25,163,183,9,11,16,10,17,13,10,8,6,10,16,11,12,16,7,17,11,16,15,18,16,15,15,11,15,14,17,14,14,16,13,10,13,13,13,10,15,2,13,5,17,2,2,1,1,2,2,1,3,3,2,4,14,15,12,14,13,16,16,17,1,1,15,1,1,1,20,10,20,10,10,13,10,1,181,69,12,20,134021250,8100,8000,7450,155,4,43,1,269230
23,163,176,5,15,17,15,16,6,11,13,6,4,15,12,7,15,9,13,8,13,11,14,13,14,17,8,15,7,13,13,17,18,16,14,15,16,11,14,14,5,12,8,12,2,1,1,1,2,4,2,2,3,2,1,12,16,6,11,12,13,9,12,1,1,1,1,1,1,1,1,1,1,20,14,12,17,188,81,14,20,150000002,8100,7650,6350,159,16,9,0,34423
25,162,175,7,12,16,16,15,11,15,12,4,6,14,13,8,16,12,15,13,15,14,14,15,13,16,8,16,7,15,16,15,16,15,10,15,15,14,13,13,12,14,8,12,1,1,1,2,2,3,2,1,4,1,4,15,13,8,12,14,14,11,11,1,1,1,1,1,1,1,1,1,1,15,11,17,20,175,73,13,20,282622772,8098,7998,7848,161,15,56,19,139190
31,162,180,14,15,16,14,15,15,13,14,4,5,15,13,10,17,12,15,12,11,12,16,13,17,17,10,17,10,12,14,15,14,13,9,15,14,13,10,11,9,11,5,14,3,1,1,3,2,1,3,1,1,1,4,14,18,13,12,13,14,11,9,1,1,1,1,1,1,1,12,1,11,19,19,19,20,175,71,20,14,347975206,8100,8400,7500,149,6,108,42,268492
29,162,176,4,10,13,18,13,11,15,14,3,5,13,20,10,14,16,14,16,16,13,11,14,18,13,16,15,5,19,12,14,8,20,16,13,17,14,20,17,10,12,7,6,3,3,3,1,4,1,1,1,2,2,4,19,18,8,9,17,17,15,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,191,93,20,12,142679281,8150,8982,7984,161,17,102,68,405971
23,162,175,6,13,12,9,13,5,16,7,8,16,14,8,16,13,14,17,16,14,16,14,14,16,12,14,12,15,16,16,15,16,16,13,15,14,15,14,15,7,14,9,15,3,1,1,1,2,1,1,1,3,2,1,15,15,6,13,13,16,13,12,1,1,20,15,1,15,1,1,1,1,1,1,1,1,178,70,10,20,122512503,8000,7750,7250,165,12,11,0,182692
23,162,178,7,11,14,9,14,8,12,9,10,14,15,11,17,14,13,15,14,17,15,14,15,17,10,16,16,17,16,17,13,13,13,12,18,13,17,13,17,12,15,6,16,2,2,3,2,1,2,1,1,3,2,1,12,16,5,15,14,15,16,14,1,1,16,1,1,1,20,1,19,1,1,1,1,1,185,80,11,20,92610121,8100,8100,7500,160,4,32,2,69595
26,162,165,11,13,17,12,15,6,9,14,4,7,13,10,8,17,13,13,12,12,12,14,12,14,17,5,14,8,12,12,19,17,13,9,13,17,12,10,13,5,16,13,16,1,1,2,3,4,1,3,1,3,2,2,16,18,12,14,14,13,11,12,1,1,1,1,12,12,1,15,10,15,20,12,18,12,179,75,12,20,82080002,8100,7750,7600,155,16,40,5,287670
27,162,167,4,6,14,16,16,15,17,15,3,7,16,13,13,16,14,15,17,12,11,15,13,17,18,14,16,11,16,15,12,12,17,17,20,12,18,17,17,14,16,5,12,2,2,1,3,2,2,1,2,2,1,3,15,15,4,19,14,16,12,12,1,1,1,1,1,1,11,7,20,6,8,17,7,11,191,82,17,20,63440998,8100,7168,8047,162,4,34,6,114037
25,162,176,13,16,19,12,14,10,7,13,6,4,12,11,5,17,9,11,11,9,8,14,8,13,18,8,14,5,7,11,18,18,11,9,12,18,12,9,11,5,13,14,14,1,1,4,4,1,1,3,1,3,2,3,12,14,14,9,11,9,14,12,1,1,1,1,1,1,1,16,1,17,19,14,20,13,178,67,20,19,96249998,8000,8150,7600,153,16,27,4,230768
23,162,178,1,2,4,3,7,1,7,3,8,3,7,6,7,6,8,16,16,14,14,8,15,15,6,14,2,15,15,13,10,16,16,18,15,12,15,16,17,4,15,4,1,16,14,15,9,15,13,16,18,11,14,12,9,16,5,4,15,13,15,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,196,90,7,20,138933453,8100,8100,7800,163,6,46,0,249315
30,161,170,10,11,12,11,14,10,13,14,10,14,14,11,15,14,18,14,16,15,14,12,15,17,12,15,12,18,17,18,11,12,15,13,15,12,17,17,14,17,15,5,12,2,1,1,2,1,2,1,1,2,2,1,13,15,14,10,15,16,10,11,1,1,9,1,1,1,20,1,19,1,1,1,1,1,185,84,13,20,209616868,8050,8500,7600,161,13,63,5,347975
27,161,166,1,1,6,1,12,1,6,10,5,1,13,9,5,12,8,15,14,15,16,13,14,15,6,15,1,15,15,12,8,16,14,15,17,11,14,15,17,5,14,6,1,13,15,16,13,15,16,14,17,7,9,14,15,18,5,15,15,16,12,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,89,9,20,157734860,8050,7250,6100,163,14,4,0,69037
27,161,168,4,7,9,10,10,4,17,6,11,18,12,10,17,11,17,16,17,12,13,9,13,18,6,14,10,14,16,16,14,11,16,16,18,15,16,18,15,12,14,3,11,1,3,1,2,3,3,2,4,4,1,2,14,16,5,16,14,19,12,11,1,5,20,12,1,1,10,1,5,1,1,1,1,1,188,82,9,20,48719002,8050,8050,7750,159,2,54,3,106922
36,161,174,9,11,13,13,14,14,20,13,12,16,15,17,16,14,18,15,16,13,10,13,11,20,14,18,12,13,13,14,12,14,15,16,15,13,15,16,13,18,19,13,14,3,2,1,1,3,2,2,2,1,3,2,10,18,14,17,18,17,6,7,1,1,20,12,1,10,8,1,1,1,1,1,1,1,184,82,13,20,17015106,8039,8039,7989,161,4,180,23,261204
24,161,170,4,8,14,15,16,8,16,14,3,5,12,15,8,16,18,15,18,13,12,12,13,19,16,12,16,7,15,18,16,17,14,11,16,17,15,13,15,14,13,6,11,2,3,3,1,1,3,3,2,3,3,2,16,18,4,14,13,19,11,9,1,1,1,1,1,1,1,1,1,1,1,13,1,20,174,79,12,20,127462502,8050,8000,7900,160,7,38,20,213653
30,161,170,16,16,12,14,18,17,4,14,3,5,17,16,6,17,7,15,8,15,15,17,17,16,14,8,15,12,17,16,12,12,12,8,17,11,15,7,14,3,17,4,13,3,3,3,3,3,1,3,1,2,4,1,8,16,2,15,15,18,18,19,1,1,1,1,1,1,17,12,20,12,14,19,13,1,182,76,15,20,192148791,8050,8458,7400,153,1,115,38,197186
20,161,177,12,14,15,11,14,8,7,12,7,9,13,12,10,15,11,16,11,14,14,15,16,16,16,6,16,9,15,15,17,16,16,9,15,15,15,11,14,8,14,9,18,1,1,1,3,1,3,3,3,1,2,3,7,14,7,14,16,15,13,14,1,13,1,1,14,10,1,12,8,12,19,1,20,1,178,0,20,11,303538754,8050,8050,7000,160,19,18,4,57996
